record_id,store_name,store_type,address,city,state,zip,zip4,county,lat,lon
1028303,A-1 Market,Convenience Store,1420 Encinal Ave,Alameda,CA,94501,4015,ALAMEDA,37.76984,-122.26162
1456117,Alameda Grocery,Convenience Store,2001 Lincoln Ave,Alameda,CA,94501,2712,ALAMEDA,37.771049,-122.25083
1187920,Bonfare Market 25,Convenience Store,650 Central Ave,Alameda,CA,94501,7803,ALAMEDA,37.771416,-122.2774
804709,Golden 7 Food Store,Convenience Store,500 Lincoln Ave,Alameda,CA,94501,3237,ALAMEDA,37.775288,-122.28226
1485589,Grab N Go Mart,Convenience Store,1725 Park St,Alameda,CA,94501,1415,ALAMEDA,37.768768,-122.23943
1437349,Grand Market,Convenience Store,1702 Lincoln Ave,Alameda,CA,94501,2509,ALAMEDA,37.772514,-122.25513
1452026,High Street Market,Convenience Store,1505 High St,Alameda,CA,94501,1799,ALAMEDA,37.759434,-122.23097
762178,LINCOLN MARKET,Convenience Store,2070 Lincoln Ave,Alameda,CA,94501,2713,ALAMEDA,37.769726,-122.24843
769232,New Richs Market,Convenience Store,1543 Lincoln Ave,Alameda,CA,94501,2446,ALAMEDA,37.774384,-122.25877
1520173,Alcatraz Market,Convenience Store,1601 Alcatraz Ave,Berkeley,CA,94703,2611,ALAMEDA,37.848377,-122.27573
1518841,Bear Market,Convenience Store,2400 Durant Ave,Berkeley,CA,94720,2276,ALAMEDA,37.870834,-122.2596
1584364,Berkeley Mini Mart,Convenience Store,2552 Telegraph Ave,Berkeley,CA,94704,2918,ALAMEDA,37.864498,-122.25906
1323579,Campus Mini Mart,Convenience Store,2200 Durant Ave,Berkeley,CA,94704,1521,ALAMEDA,37.866676,-122.2654
1499559,Cedar Market,Convenience Store,1601 California St,Berkeley,CA,94703,1203,ALAMEDA,37.87685,-122.28026
1283125,City Lee Market,Convenience Store,2700 Martin Luther King Jr Way,Berkeley,CA,94703,2110,ALAMEDA,37.859608,-122.272
